User,Closeness Centrality
p1251,0.6920861925341795
p982,0.6912560764906254
p1175,0.6906118061310709
p2211,0.6901523478075189
p2315,0.6900605294947659
p1240,0.6895101322628658
p3078,0.6886861807007114
p2981,0.6877729854733684
p100,0.687681799131244
p894,0.6873172954280008
p98,0.6873172954280008
p96,0.6873172954280008
p2565,0.6872262298704748
p3029,0.6872262298704748
p3288,0.6854099729035228
p3167,0.6854099729035228
p3100,0.6854099729035228
p3182,0.6854099729035228
p168,0.6850478729376488
p555,0.6848669663890419
p2828,0.684776548940182
p116,0.684776548940182
p1031,0.6843248195721892
p3040,0.6838736857996451
p1306,0.6836032909321131
p5405,0.6836032909321131
p2912,0.6836032909321131
p3192,0.6832430968777459
p2340,0.6831531076651179
p32,0.6830631421541329
p4907,0.6829732003354281
p3249,0.6829732003354281
p1807,0.6829732003354281
p3916,0.6829732003354281
p3157,0.6829732003354281
p3217,0.6827035169394418
p1207,0.6825238462987575
p4943,0.6817164973315908
p4921,0.6817164973315908
p3120,0.6817164973315908
p4867,0.6817164973315908
p3002,0.6817164973315908
p3865,0.6817164973315908
p4719,0.6817164973315908
p3021,0.6817164973315908
p3070,0.6817164973315908
p4962,0.6817164973315908
p3283,0.6817164973315908
p3162,0.6817164973315908
p4866,0.6817164973315908
p4893,0.6817164973315908
p3172,0.6817164973315908
p3181,0.6817164973315908
p3205,0.6817164973315908
p4720,0.6817164973315908
p1910,0.6817164973315908
p3215,0.6817164973315908
p3662,0.6817164973315908
p4938,0.6817164973315908
p3760,0.6817164973315908
p3121,0.6817164973315908
p3220,0.6817164973315908
p4868,0.6817164973315908
p3171,0.6817164973315908
p3871,0.6817164973315908
p3284,0.6817164973315908
p3222,0.6817164973315908
p3223,0.6817164973315908
p2640,0.6817164973315908
p3173,0.6817164973315908
p4941,0.6817164973315908
p3269,0.6817164973315908
p578,0.6816269097769115
p4077,0.6816269097769115
p1808,0.6816269097769115
p161,0.6814478052877105
p23,0.6811793249651859
p898,0.6808216801138555
p983,0.6808216801138555
p985,0.680018350697792
p986,0.6797509953407258
p2346,0.6792169148101104
p521,0.679039074418722
p1312,0.679039074418722
p95,0.6787724883789057
p2712,0.6782399437655977
p68,0.6779739847000077
p2294,0.6778853780235782
p1315,0.677796794504725
p1277,0.6776196969034435
p2591,0.6776196969034435
p2390,0.6769122309882425
p875,0.6760299732743446
p892,0.6756777137950118
p135,0.6751500123589207
p1677,0.6744476913006188
p819,0.6739219086529472
p2699,0.6733969451408515
p2270,0.6716529582321021
p1058,0.6713921390133206
p1402,0.6713052442823282
p2594,0.6712183720410752
p2593,0.6712183720410752
p2627,0.6712183720410752
p2481,0.6712183720410752
p2596,0.6711315222808318
p69,0.6709578901684766
p4541,0.6706108953322656
p2381,0.6700910755051235
p1282,0.670004517205633
p2413,0.6696585075137058
p3038,0.6693992346837979
p2614,0.66879504480013
p2416,0.6679338059297416
p587,0.6676758666341518
p1450,0.6675040177527068
p1419,0.6672464102331522
p1470,0.667074782322347
p955,0.6669032426804767
p1537,0.6668175059391153
p2494,0.6667317912394637
p2430,0.6667317912394637
p2961,0.6659613494186825
p4174,0.6657903818686103
p4177,0.6654487099810646
p1534,0.6654487099810646
p2062,0.6651926861106007
p1208,0.6648516272444284
p87,0.6646812289289945
p2959,0.66459606252129
p2592,0.6644257951639542
p3028,0.6637455972803644
p1564,0.6637455972803644
p451,0.6632363621184589
p2954,0.6632363621184589
p2877,0.662812595993535
p2711,0.6627279077425935
p2259,0.66196668622901
p2864,0.6617977633106741
p4709,0.6617133341771267
p1692,0.6616289265829974
p2225,0.6614601759800304
p3815,0.6613758329547221
p3818,0.6612915114358906
p86,0.661122932884763
p3811,0.6609544402608994
p2968,0.6608702261511636
p2967,0.6607860334986188
p4084,0.6604494772964167
