node_id,degree
u28820,1
u27860,1
u24298,1
u20598,1
u27235,1
u27435,1
u20801,1
u24582,1
u28119,1
u25282,1
u20220,1
u29300,1
u28464,1
u26281,1
u26170,1
u28093,1
u25590,1
u27390,1
u29037,1
u23659,1
u26733,1
u28495,1
u25436,1
u24329,1
u25254,1
u24322,1
u29059,1
u27020,1
u27152,1
u25285,1
u23974,1
u24036,1
u18191,1
u26066,1
u29153,1
u28686,1
u26488,1
u28544,1
u29337,1
u27366,1
u29111,1
u29288,1
u21893,1
u24002,1
u23372,1
u27089,1
u28304,1
u24971,1
u27444,1
u25141,1
u28406,1
u24611,1
u22241,1
u26272,1
u25428,1
u27186,1
u29272,1
u21624,1
u28629,1
u28462,1
u24113,1
u29144,1
u23763,1
u22934,1
u22424,1
u21609,1
u28070,1
u9003,1
u29103,1
u25427,1
u24073,1
u25348,1
u29083,1
u25440,1
u26049,1
u28130,1
u29256,1
u25327,1
u25485,1
u26745,1
u28510,1
u27232,1
u28903,1
u27550,1
u23551,1
u25335,1
u28699,1
u18554,1
u26100,1
u26109,1
u27507,1
u23479,1
u23553,1
u25806,1
u27051,1
u20556,1
u23930,1
u23448,1
u26702,1
u18537,1
u23788,1
u22885,1
u20563,1
u28087,1
u24183,1
u24649,1
u27373,1
u25408,1
u28105,1
u21947,1
u27965,1
u29287,1
u25637,1
u26148,1
u28349,1
u25135,1
u24243,1
u23315,1
u24868,1
u20735,1
u26326,1
u24613,1
u28691,1
u29339,1
u22224,1
u17813,1
u21591,1
u28410,1
u16764,1
u19338,1
u28271,1
u13282,1
u24311,1
u26018,1
u28143,1
u23893,1
u28848,1
u19489,1
u25370,1
u28615,1
u25192,1
u26215,1
u27879,1
u28497,1
u24953,1
u28373,1
u26507,1
u23240,1
u20548,1
u22690,1
u25248,1
u25828,1
u18947,1
u24018,1
u26918,1
u19152,1
u21734,1
u28893,1
u25672,1
u17012,1
u28415,1
u27866,1
u29053,1
u29134,1
u24759,1
u28036,1
u23764,1
u25932,1
u27871,1
u25779,1
u19285,1
u26183,1
u28837,1
u28107,1
u29089,1
u26178,1
u18846,1
u28408,1
u26762,1
u12374,1
u25190,1
u22921,1
u24769,1
u26412,1
u25435,1
u24351,1
u29296,1
u26221,1
u25544,1
u22185,1
u19434,1
u24975,1
u23857,1
u29248,1
u28471,1
u24992,1
u28074,1
u25353,1
u25971,1
u20806,1
u27411,1
u24817,1
u25815,1
u18555,1
u27574,1
u22986,1
u27743,1
u26254,1
u23481,1
u16994,1
u24566,1
u26353,1
u28214,1
u25840,1
u26646,1
u26192,1
u20636,1
u27088,1
u21895,1
u22498,1
u26631,1
u23395,1
u22975,1
u25734,1
u27608,1
u27506,1
u28321,1
u27846,1
u23404,1
u22122,1
u25755,1
u27607,1
u24955,1
u26517,1
u27795,1
u20723,1
u26009,1
u26112,1
u27570,1
u25115,1
u26149,1
u25926,1
u27159,1
u28100,1
u29240,1
u24173,1
u24020,1
u28881,1
u24777,1
u24164,1
u27107,1
u27354,1
u25705,1
u25706,1
u23074,1
u23529,1
u27054,1
u28847,1
u29092,1
u23144,1
u28651,1
u23071,1
u26852,1
u26878,1
u11519,1
u14694,1
u21275,1
u26099,1
u17076,1
u17650,1
u27298,1
u22768,1
u28914,1
u29067,1
u24565,1
u26057,1
u26660,1
u21900,1
u23608,1
u23760,1
u27758,1
u29137,1
u21799,1
u18045,1
u25918,1
u24358,1
u25644,1
u23995,1
u25579,1
u27427,1
u24495,1
u26246,1
u27167,1
u28281,1
u19234,1
u21154,1
u18806,1
u29342,1
u29267,1
u28071,1
u20807,1
u17620,1
u23781,1
u25453,1
u20371,1
u25131,1
u26056,1
u28836,1
u26526,1
u23941,1
u24291,1
u25004,1
u19021,1
u26838,1
u28567,1
u19602,1
u27270,1
u28672,1
u26006,1
u23554,1
u26061,1
u21151,1
u25450,1
u25753,1
u28504,1
u23034,1
u28842,1
u26208,1
u25879,1
u28346,1
u26835,1
u27442,1
u27828,1
u26311,1
u25276,1
u28695,1
u28206,1
u19337,1
u23231,1
u23149,1
u25717,1
u24837,1
u28288,1
u24141,1
u23325,1
u27739,1
u27436,1
u24155,1
u25924,1
u22995,1
u28468,1
u21166,1
u24604,1
u28343,1
u26788,1
u23098,1
u25091,1
u23357,1
u25416,1
u23328,1
u20888,1
u23100,1
u26403,1
u25491,1
u27327,1
u25752,1
u27481,1
u27944,1
u28682,1
u28829,1
u25723,1
u27052,1
u25748,1
u25242,1
u27473,1
u25108,1
u28665,1
u29291,1
u29112,1
u27532,1
u24883,1
u20911,1
u29055,1
u29018,1
u20997,1
u26370,1
u22688,1
u25211,1
u27297,1
u25842,1
u26920,1
u24870,1
u26017,1
u25585,1
u28068,1
u25724,1
u27929,1
u24984,1
u24079,1
u28272,1
u24077,1
u26910,1
u28379,1
u24332,1
u25024,1
u26587,1
u11497,1
u19047,1
u28492,1
u27208,1
u23093,1
u23843,1
u25884,1
u23902,1
u25225,1
u24165,1
u23102,1
u19480,1
u25414,1
u20574,1
u25565,1
u20925,1
u25464,1
u23508,1
u20674,1
u19483,1
u29063,1
u25832,1
u23110,1
u21906,1
u23036,1
u28139,1
u26881,1
u27557,1
u25483,1
u23028,1
u27117,1
u23069,1
u24154,1
u29109,1
u26420,1
u20812,1
u27378,1
u26088,1
u25003,1
u25015,1
u23719,1
u26766,1
u29050,1
u25762,1
u26753,1
u17891,1
u25104,1
u29237,1
u20090,1
u26388,1
u23886,1
u24481,1
u12328,1
u24493,1
u22493,1
u29230,1
u24131,1
u22829,1
u26634,1
u24947,1
u24035,1
u29229,1
u20274,1
u26374,1
u22642,1
u25754,1
u25601,1
u24920,1
u28021,1
u26641,1
u27391,1
u20104,1
u27720,1
u24860,1
u19473,1
u21101,1
u23512,1
u23828,1
u18074,1
u28825,1
u18234,1
u23318,1
u24695,1
u27868,1
u19301,1
u28270,1
u24752,1
u25688,1
u27185,1
u25497,1
u26866,1
u27064,1
u22351,1
u17336,1
u25138,1
u26222,1
u28317,1
u23720,1
u28543,1
u24015,1
u24826,1
u27026,1
u25208,1
u27820,1
u29149,1
u26638,1
u16685,1
u22766,1
u28413,1
u24885,1
u27812,1
u26290,1
u27118,1
u26468,1
u12335,1
u25996,1
u26686,1
u23485,1
u22329,1
u21939,1
u25475,1
u28685,1
u25710,1
u26197,1
u28061,1
u23403,1
u25528,1
u15669,1
u24903,1
u24985,1
u26078,1
u25292,1
u22315,1
u28652,1
u24269,1
u25281,1
u28650,1
u26158,1
u29315,1
u24621,1
u27854,1
u28266,1
u27191,1
u21187,1
u24691,1
u25650,1
u29027,1
u22640,1
u27146,1
u23394,1
u28786,1
u26877,1
u28232,1
