Node,Hub Score
u8403,8.879486392007096e-06
u14745,5.621750152130883e-07
u13733,1.069344937926954e-07
u25130,4.053180796469829e-08
u17011,1.0274346434765482e-06
u9244,5.105630293349367e-07
u20915,7.493610727913105e-08
u22244,9.299889645996264e-08
u9822,3.2014600450897224e-06
u5112,1.91044754663622e-06
u23308,3.7182919604807665e-07
u28584,1.3803329731522972e-139
u18383,2.28351094792022e-07
u17741,1.3803329731522972e-139
u20005,2.414503723001892e-07
u10940,5.116587462098998e-07
u6992,1.1000650751498208e-06
u10084,3.3897039965038e-06
u9039,6.930185285229562e-07
u26573,1.3803329731522972e-139
u2770,4.480741614135592e-06
u7208,5.092697655860595e-07
u2322,2.9279547625836197e-05
u17673,1.0123646587950718e-07
u8590,1.8225387840901717e-07
u15679,4.669363137842481e-07
u17003,2.0894945715533162e-07
u9614,3.7193274588845754e-07
u24543,1.8576947360618267e-07
u3226,7.244286219559853e-07
u9633,4.3935698578267677e-07
u24305,4.9108816441147134e-08
u27067,2.578073548550861e-10
u9799,4.309654713822216e-07
u11116,5.407447872184689e-08
u25192,1.613455785000408e-09
u3644,3.308461323682405e-07
u7477,1.4323895580728203e-05
u22752,3.798727257475439e-08
u29213,2.3610545992869373e-07
u28956,6.183933746964476e-08
u19946,2.2568335939949105e-08
u6740,5.269542685240543e-07
u27223,3.005485577537313e-07
u19605,1.2857550487319515e-07
u15630,4.89896458857284e-07
u22810,7.404594258124726e-08
u10968,1.3803329731522972e-139
u28765,3.2256457803934627e-09
u24173,6.7866511288566385e-09
u9719,1.5380273822177897e-07
u24610,3.625066422148315e-06
u21963,3.054748366472262e-08
u29288,7.941910551114701e-08
u5355,2.3900267407916586e-06
u10020,5.206128486935682e-07
u25333,1.6645978190106041e-09
u15044,4.065910355894777e-07
u21941,1.3803329731522972e-139
u411,2.2215157508770213e-06
u15796,1.1513678374124866e-07
u28285,1.1579072221249146e-132
u15138,4.348249770773196e-07
u5505,6.116658769390137e-07
u17131,2.717972466870419e-07
u20275,2.121853374337472e-07
u22361,7.385462808400774e-07
u4989,1.6950562230858987e-07
u11365,1.0984990702889036e-07
u1136,0.0007393941497517992
u18157,3.138165751568547e-07
u331,0.001299455430379857
u21035,2.2057558211777675e-07
u22785,1.4321562264472631e-08
u2229,3.274635805229291e-06
u18016,3.723885895441051e-07
u2807,1.0029208324424893e-05
u12667,4.5290650694899414e-07
u9212,2.437635634045541e-06
u3431,3.3084648260230594e-07
u27406,1.173038840929049e-07
u26330,1.3803329731522972e-139
u24166,3.6893915047823216e-07
u12878,8.437147816990067e-07
u9525,9.578428975134966e-07
u18226,4.048251898926801e-07
u1376,4.2479183151907876e-05
u14527,4.5444735740324675e-07
u25099,3.068762546493759e-08
u2972,2.106445715625839e-06
u20841,1.498246526848251e-07
u4793,1.6950562230858987e-07
u4320,7.712580547219574e-07
u117,1.1350504618731464e-05
u12555,4.628965135719262e-07
u7583,1.0051490303627125e-06
u17721,1.6728346149298335e-06
u9537,4.902899010495472e-08
u9731,1.2588680598968958e-07
u19533,1.2141412309758132e-07
u2652,1.3557694344840866e-06
u1076,9.051111683021235e-06
u10226,8.956055870714661e-07
u26773,1.27129670043334e-07
u23319,3.161267521829778e-07
u799,2.372071216846629e-05
u15405,3.5463429456179127e-07
u27346,1.1119876637322712e-08
u29014,1.3803329731522972e-139
u23004,1.3803329731522972e-139
u5116,6.893768163944568e-06
u3421,3.308461323682405e-07
u17779,6.050352542618284e-07
u6486,1.0681628331357925e-06
u13334,4.5186264345953996e-09
u26122,1.3803329731522972e-139
u19091,2.7502193344796926e-07
u28370,2.0279247176148145e-07
u8480,4.500496242473277e-07
u8523,8.591228320800319e-07
u20896,7.524771783203073e-08
u12019,9.095657822315525e-07
u3521,4.000312749543198e-06
u17999,3.4069300165495753e-07
u8725,5.407053400480598e-07
u16320,2.897255489232495e-07
u24220,1.657335525075704e-08
u5142,6.43778878699273e-07
u9267,4.0367951914607075e-07
u19535,3.013512549469552e-08
u28886,1.3803329731522972e-139
u27943,2.9722516353755076e-09
u8766,4.3695408596646777e-07
u3546,3.308461323682405e-07
u911,1.8692314578178814e-05
u15578,3.376065412616538e-07
u5567,9.213805096641038e-07
u8750,2.0600155051630432e-08
u4745,1.6950562230858987e-07
u6991,3.29047983120735e-06
u25106,1.1579072221249146e-132
